binomial;country;continent;genus;family;snake_sub_family;poisonous
Agkistrodon contortrix;United States of America;North America;Agkistrodon;Viperidae;Agkistrodon contortrix;peconhento
Agkistrodon contortrix;unknown;unknown;Agkistrodon;Viperidae;Agkistrodon contortrix;peconhento
Agkistrodon piscivorus;United States of America;North America;Agkistrodon;Viperidae;Agkistrodon piscivorus;peconhento
Agkistrodon piscivorus;unknown;unknown;Agkistrodon;Viperidae;Agkistrodon piscivorus;peconhento
Ahaetulla nasuta;India;Asia;Ahaetulla;Colubridae;Ahaetulla nasuta;nao peconhento
Ahaetulla nasuta;Sri Lanka;Asia;Ahaetulla;Colubridae;Ahaetulla nasuta;nao peconhento
Ahaetulla nasuta;unknown;unknown;Ahaetulla;Colubridae;Ahaetulla nasuta;nao peconhento
Ahaetulla nasuta;Cambodia;Asia;Ahaetulla;Colubridae;Ahaetulla nasuta;nao peconhento
Ahaetulla nasuta;Vietnam;Asia;Ahaetulla;Colubridae;Ahaetulla nasuta;nao peconhento
Ahaetulla nasuta;Thailand;Asia;Ahaetulla;Colubridae;Ahaetulla nasuta;nao peconhento
Ahaetulla nasuta;Burma;Asia;Ahaetulla;Colubridae;Ahaetulla nasuta;nao peconhento
Ahaetulla nasuta;Bangladesh;Asia;Ahaetulla;Colubridae;Ahaetulla nasuta;nao peconhento
Ahaetulla nasuta;Malaysia;Asia;Ahaetulla;Colubridae;Ahaetulla nasuta;nao peconhento
Ahaetulla prasina;Vietnam;Asia;Ahaetulla;Colubridae;Ahaetulla prasina;nao peconhento
Ahaetulla prasina;Thailand;Asia;Ahaetulla;Colubridae;Ahaetulla prasina;nao peconhento
Ahaetulla prasina;Indonesia;Asia;Ahaetulla;Colubridae;Ahaetulla prasina;nao peconhento
Ahaetulla prasina;Singapore;Asia;Ahaetulla;Colubridae;Ahaetulla prasina;nao peconhento
Ahaetulla prasina;unknown;unknown;Ahaetulla;Colubridae;Ahaetulla prasina;nao peconhento
Ahaetulla prasina;Malaysia;Asia;Ahaetulla;Colubridae;Ahaetulla prasina;nao peconhento
Ahaetulla prasina;Burma;Asia;Ahaetulla;Colubridae;Ahaetulla prasina;nao peconhento
Ahaetulla prasina;Sri Lanka;Asia;Ahaetulla;Colubridae;Ahaetulla prasina;nao peconhento
Ahaetulla prasina;Cambodia;Asia;Ahaetulla;Colubridae;Ahaetulla prasina;nao peconhento
Ahaetulla prasina;Laos;Asia;Ahaetulla;Colubridae;Ahaetulla prasina;nao peconhento
Arizona elegans;United States of America;North America;Arizona;Colubridae;Arizona elegans;nao peconhento
Arizona elegans;unknown;unknown;Arizona;Colubridae;Arizona elegans;nao peconhento
Arizona elegans;Mexico;North America;Arizona;Colubridae;Arizona elegans;nao peconhento
Aspidites melanocephalus;Australia;Oceania;Aspidites;Pythonidae;Aspidites melanocephalus;nao peconhento
Aspidites melanocephalus;unknown;unknown;Aspidites;Pythonidae;Aspidites melanocephalus;nao peconhento
Aspidites melanocephalus;France;Europe;Aspidites;Pythonidae;Aspidites melanocephalus;nao peconhento
Aspidites melanocephalus;United Kingdom;Europe;Aspidites;Pythonidae;Aspidites melanocephalus;nao peconhento
Atractus crassicaudatus;Colombia;South America;Atractus;Colubridae;Atractus crassicaudatus;nao peconhento
Atractus crassicaudatus;unknown;unknown;Atractus;Colubridae;Atractus crassicaudatus;nao peconhento
Austrelaps superbus;Australia;Oceania;Austrelaps;Elapidae;Austrelaps superbus;peconhento
Austrelaps superbus;unknown;unknown;Austrelaps;Elapidae;Austrelaps superbus;peconhento
Bitis arietans;unknown;unknown;Bitis;Viperidae;Bitis arietans;peconhento
Bitis arietans;South Africa;Africa;Bitis;Viperidae;Bitis arietans;peconhento
Bitis arietans;Zambia;Africa;Bitis;Viperidae;Bitis arietans;peconhento
Bitis arietans;Swaziland;Africa;Bitis;Viperidae;Bitis arietans;peconhento
Bitis arietans;Nigeria;Africa;Bitis;Viperidae;Bitis arietans;peconhento
Bitis arietans;United Kingdom;Europe;Bitis;Viperidae;Bitis arietans;peconhento
Bitis arietans;Botswana;Africa;Bitis;Viperidae;Bitis arietans;peconhento
Bitis arietans;Namibia;Africa;Bitis;Viperidae;Bitis arietans;peconhento
Bitis arietans;United States of America;North America;Bitis;Viperidae;Bitis arietans;peconhento
Bitis arietans;Oman;Asia;Bitis;Viperidae;Bitis arietans;peconhento
Bitis arietans;Tanzania;Africa;Bitis;Viperidae;Bitis arietans;peconhento
Bitis arietans;Mali;Africa;Bitis;Viperidae;Bitis arietans;peconhento
Bitis arietans;Morocco;Africa;Bitis;Viperidae;Bitis arietans;peconhento
Bitis arietans;Burundi;Africa;Bitis;Viperidae;Bitis arietans;peconhento
Bitis arietans;South Sudan;Africa;Bitis;Viperidae;Bitis arietans;peconhento
Bitis arietans;Kenya;Africa;Bitis;Viperidae;Bitis arietans;peconhento
Bitis arietans;Benin;Africa;Bitis;Viperidae;Bitis arietans;peconhento
Bitis arietans;Spain;Europe;Bitis;Viperidae;Bitis arietans;peconhento
Bitis arietans;Germany;Europe;Bitis;Viperidae;Bitis arietans;peconhento
Bitis arietans;Somalia;Africa;Bitis;Viperidae;Bitis arietans;peconhento
Bitis arietans;Zimbabwe;Africa;Bitis;Viperidae;Bitis arietans;peconhento
Bitis arietans;Angola;Africa;Bitis;Viperidae;Bitis arietans;peconhento
Bitis arietans;Rwanda;Africa;Bitis;Viperidae;Bitis arietans;peconhento
Bitis arietans;Saudi Arabia;Asia;Bitis;Viperidae;Bitis arietans;peconhento
Bitis arietans;Mozambique;Africa;Bitis;Viperidae;Bitis arietans;peconhento
Bitis arietans;Ivory Coast;Africa;Bitis;Viperidae;Bitis arietans;peconhento
Bitis arietans;Sudan;Africa;Bitis;Viperidae;Bitis arietans;peconhento
Bitis gabonica;Nigeria;Africa;Bitis;Viperidae;Bitis gabonica;peconhento
Bitis gabonica;United States of America;North America;Bitis;Viperidae;Bitis gabonica;peconhento
Bitis gabonica;unknown;unknown;Bitis;Viperidae;Bitis gabonica;peconhento
Bitis gabonica;Republic of Congo;Africa;Bitis;Viperidae;Bitis gabonica;peconhento
Bitis gabonica;Gabon;Africa;Bitis;Viperidae;Bitis gabonica;peconhento
Bitis gabonica;Uganda;Africa;Bitis;Viperidae;Bitis gabonica;peconhento
Bitis gabonica;France;Europe;Bitis;Viperidae;Bitis gabonica;peconhento
Bitis gabonica;United Kingdom;Europe;Bitis;Viperidae;Bitis gabonica;peconhento
Bitis gabonica;Tanzania;Africa;Bitis;Viperidae;Bitis gabonica;peconhento
Bitis gabonica;Switzerland;Europe;Bitis;Viperidae;Bitis gabonica;peconhento
Bitis gabonica;Germany;Europe;Bitis;Viperidae;Bitis gabonica;peconhento
Bitis gabonica;South Africa;Africa;Bitis;Viperidae;Bitis gabonica;peconhento
Bitis gabonica;Angola;Africa;Bitis;Viperidae;Bitis gabonica;peconhento
Bitis gabonica;South Sudan;Africa;Bitis;Viperidae;Bitis gabonica;peconhento
Bitis gabonica;Spain;Europe;Bitis;Viperidae;Bitis gabonica;peconhento
Bitis gabonica;Cameroon;Africa;Bitis;Viperidae;Bitis gabonica;peconhento
Bitis gabonica;Zambia;Africa;Bitis;Viperidae;Bitis gabonica;peconhento
Bitis gabonica;Burundi;Africa;Bitis;Viperidae;Bitis gabonica;peconhento
Bitis gabonica;Kenya;Africa;Bitis;Viperidae;Bitis gabonica;peconhento
Bitis gabonica;Canada;North America;Bitis;Viperidae;Bitis gabonica;peconhento
Bitis gabonica;Malaysia;Asia;Bitis;Viperidae;Bitis gabonica;peconhento
Bitis gabonica;Mexico;North America;Bitis;Viperidae;Bitis gabonica;peconhento
Bitis gabonica;Sweden;Europe;Bitis;Viperidae;Bitis gabonica;peconhento
Boa constrictor;unknown;unknown;Boa;Boidae;Boa constrictor;nao peconhento
Boa constrictor;Brazil;South America;Boa;Boidae;Boa constrictor;nao peconhento
Boa constrictor;Bolivia;South America;Boa;Boidae;Boa constrictor;nao peconhento
Boa constrictor;Trinidad and Tobago;South America;Boa;Boidae;Boa constrictor;nao peconhento
Boa constrictor;Colombia;South America;Boa;Boidae;Boa constrictor;nao peconhento
Boa constrictor;Suriname;South America;Boa;Boidae;Boa constrictor;nao peconhento
Boa constrictor;Peru;South America;Boa;Boidae;Boa constrictor;nao peconhento
Boa constrictor;United States of America;North America;Boa;Boidae;Boa constrictor;nao peconhento
Boa constrictor;Ecuador;South America;Boa;Boidae;Boa constrictor;nao peconhento
Boa constrictor;Mexico;North America;Boa;Boidae;Boa constrictor;nao peconhento
Boa constrictor;Puerto Rico;North America;Boa;Boidae;Boa constrictor;nao peconhento
Boa constrictor;Spain;Europe;Boa;Boidae;Boa constrictor;nao peconhento
Boa constrictor;Venezuela;South America;Boa;Boidae;Boa constrictor;nao peconhento
Boa constrictor;Guatemala;North America;Boa;Boidae;Boa constrictor;nao peconhento
Boa constrictor;Germany;Europe;Boa;Boidae;Boa constrictor;nao peconhento
Bogertophis subocularis;unknown;unknown;Bogertophis;Colubridae;Bogertophis subocularis;nao peconhento
Bogertophis subocularis;Mexico;North America;Bogertophis;Colubridae;Bogertophis subocularis;nao peconhento
Bogertophis subocularis;United States of America;North America;Bogertophis;Colubridae;Bogertophis subocularis;nao peconhento
Bogertophis subocularis;Mexico;South America;Bogertophis;Colubridae;Bogertophis subocularis;nao peconhento
Boiga irregularis;unknown;unknown;Boiga;Colubridae;Boiga irregularis;peconhento
Boiga irregularis;Australia;Oceania;Boiga;Colubridae;Boiga irregularis;peconhento
Boiga irregularis;Indonesia;Asia;Boiga;Colubridae;Boiga irregularis;peconhento
Boiga irregularis;Guam;Oceania;Boiga;Colubridae;Boiga irregularis;peconhento
Boiga irregularis;Papua New Guinea;Oceania;Boiga;Colubridae;Boiga irregularis;peconhento
Boiga kraepelini;Taiwan;Asia;Boiga;Colubridae;Boiga kraepelini;nao peconhento
Boiga kraepelini;unknown;unknown;Boiga;Colubridae;Boiga kraepelini;nao peconhento
Boiga kraepelini;China;Asia;Boiga;Colubridae;Boiga kraepelini;nao peconhento
Bothriechis schlegelii;Colombia;South America;Bothriechis;Viperidae;Bothriechis schlegelii;peconhento
Bothriechis schlegelii;unknown;unknown;Bothriechis;Viperidae;Bothriechis schlegelii;peconhento
Bothriechis schlegelii;Panama;North America;Bothriechis;Viperidae;Bothriechis schlegelii;peconhento
Bothriechis schlegelii;Costa Rica;North America;Bothriechis;Viperidae;Bothriechis schlegelii;peconhento
Bothriechis schlegelii;United Kingdom;Europe;Bothriechis;Viperidae;Bothriechis schlegelii;peconhento
Bothriechis schlegelii;Costa Rica;South America;Bothriechis;Viperidae;Bothriechis schlegelii;peconhento
Bothriechis schlegelii;Ecuador;South America;Bothriechis;Viperidae;Bothriechis schlegelii;peconhento
Bothriechis schlegelii;Mexico;North America;Bothriechis;Viperidae;Bothriechis schlegelii;peconhento
Bothriechis schlegelii;Australia;Oceania;Bothriechis;Viperidae;Bothriechis schlegelii;peconhento
Bothrops asper;Costa Rica;North America;Bothrops;Viperidae;Bothrops asper;peconhento
Bothrops asper;Colombia;South America;Bothrops;Viperidae;Bothrops asper;peconhento
Bothrops asper;unknown;unknown;Bothrops;Viperidae;Bothrops asper;peconhento
Bothrops asper;Mexico;North America;Bothrops;Viperidae;Bothrops asper;peconhento
Bothrops asper;Ecuador;South America;Bothrops;Viperidae;Bothrops asper;peconhento
Bothrops asper;Panama;South America;Bothrops;Viperidae;Bothrops asper;peconhento
Bothrops asper;Panama;North America;Bothrops;Viperidae;Bothrops asper;peconhento
Bothrops asper;Costa Rica;South America;Bothrops;Viperidae;Bothrops asper;peconhento
Bothrops asper;Belize;North America;Bothrops;Viperidae;Bothrops asper;peconhento
Bothrops asper;Honduras;South America;Bothrops;Viperidae;Bothrops asper;peconhento
Bothrops asper;Mexico;South America;Bothrops;Viperidae;Bothrops asper;peconhento
Bothrops asper;Belize;South America;Bothrops;Viperidae;Bothrops asper;peconhento
Bothrops asper;Guatemala;North America;Bothrops;Viperidae;Bothrops asper;peconhento
Bothrops asper;Honduras;North America;Bothrops;Viperidae;Bothrops asper;peconhento
Bothrops atrox;Brazil;South America;Bothrops;Viperidae;Bothrops atrox;peconhento
Bothrops atrox;Trinidad and Tobago;South America;Bothrops;Viperidae;Bothrops atrox;peconhento
Bothrops atrox;Colombia;South America;Bothrops;Viperidae;Bothrops atrox;peconhento
